Lv,ATK_Base,ATK_Pow,HP_Base,HP_Pow,DEF_Base,DEF_Pow,HPREC_Base,HPREC_Pow,CR_Base,CR_Pow,ATKT_Base,ATKT_Pow,OFFT,GOLDR,ATKR,OFFA,ATKSP,RCD,UCR_Base,UCR_Pow,ATKB,CD,DEFR,IGNDEF_Base,IGNDEF_Pow
34,1.45,2,2.31,2,3.4,0,7.857,2,3.4,-1,1.36,-1,363.4,3.4,6.8,6.8,0.017,0.0034,3.4,-1,6.8,6.8,6.8,6.58031388,-2
35,1.56,2,2.37,2,3.5,0,9.1115,2,3.5,-1,1.4,-1,363.5,3.5,7,7,0.0175,0.0035,3.5,-1,7,7,7,6.767153253,-2
36,1.67,2,2.43,2,3.6,0,1.05665,3,3.6,-1,1.44,-1,363.6,3.6,7.2,7.2,0.018,0.0036,3.6,-1,7.2,7.2,7.2,6.953618946,-2
37,1.8,2,2.49,2,3.7,0,1.2254,3,3.7,-1,1.48,-1,363.7,3.7,7.4,7.4,0.0185,0.0037,3.7,-1,7.4,7.4,7.4,7.139711708,-2
38,1.93,2,2.55,2,3.8,0,1.4211,3,3.8,-1,1.52,-1,363.8,3.8,7.6,7.6,0.019,0.0038,3.8,-1,7.6,7.6,7.6,7.325432285,-2
39,2.08,2,2.61,2,3.9,0,1.648,3,3.9,-1,1.56,-1,363.9,3.9,7.8,7.8,0.0195,0.0039,3.9,-1,7.8,7.8,7.8,7.51078142,-2
40,2.23,2,2.68,2,4,0,1.9112,3,4,-1,1.6,-1,364,4,8,8,0.02,0.004,4,-1,8,8,8,7.695759857,-2
41,2.4,2,2.74,2,4.1,0,2.2164,3,4.1,-1,1.64,-1,364.1,4.1,8.2,8.2,0.0205,0.0041,4.1,-1,8.2,8.2,8.2,7.880368338,-2
42,2.58,2,2.81,2,4.2,0,2.57035,3,4.2,-1,1.68,-1,364.2,4.2,8.4,8.4,0.021,0.0042,4.2,-1,8.4,8.4,8.4,8.064607601,-2
43,2.77,2,2.88,2,4.3,0,2.9808,3,4.3,-1,1.72,-1,364.3,4.3,8.6,8.6,0.0215,0.0043,4.3,-1,8.6,8.6,8.6,8.248478386,-2
44,2.98,2,2.95,2,4.4,0,3.4568,3,4.4,-1,1.76,-1,364.4,4.4,8.8,8.8,0.022,0.0044,4.4,-1,8.8,8.8,8.8,8.431981429,-2
45,3.2,2,3.03,2,4.5,0,4.0088,3,4.5,-1,1.8,-1,364.5,4.5,9,9,0.0225,0.0045,4.5,-1,9,9,9,8.615117466,-2
46,3.44,2,3.1,2,4.6,0,4.649,3,4.6,-1,1.84,-1,364.6,4.6,9.2,9.2,0.023,0.0046,4.6,-1,9.2,9.2,9.2,8.797887231,-2
47,3.7,2,3.18,2,4.7,0,5.3914,3,4.7,-1,1.88,-1,364.7,4.7,9.4,9.4,0.0235,0.0047,4.7,-1,9.4,9.4,9.4,8.980291457,-2
48,3.97,2,3.26,2,4.8,0,6.2524,3,4.8,-1,1.92,-1,364.8,4.8,9.6,9.6,0.024,0.0048,4.8,-1,9.6,9.6,9.6,9.162330874,-2
49,4.27,2,3.34,2,4.9,0,7.25085,3,4.9,-1,1.96,-1,364.9,4.9,9.8,9.8,0.0245,0.0049,4.9,-1,9.8,9.8,9.8,9.344006212,-2
50,4.59,2,3.43,2,5,0,8.40875,3,5,-1,2,-1,365,5,10,10,0.025,0.005,5,-1,10,10,10,9.5253182,-2
51,4.94,2,3.51,2,5.1,0,9.75155,3,5.1,-1,2.04,-1,365.1,5.1,10.2,10.2,0.0255,0.0051,5.1,-1,10.2,10.2,10.2,9.706267563,-2
52,5.31,2,3.6,2,5.2,0,1.13088,4,5.2,-1,2.08,-1,365.2,5.2,10.4,10.4,0.026,0.0052,5.2,-1,10.4,10.4,10.4,9.886855028,-2
53,5.7,2,3.69,2,5.3,0,1.311475,4,5.3,-1,2.12,-1,365.3,5.3,10.6,10.6,0.0265,0.0053,5.3,-1,10.6,10.6,10.6,1.006708132,-1
54,6.13,2,3.78,2,5.4,0,1.52091,4,5.4,-1,2.16,-1,365.4,5.4,10.8,10.8,0.027,0.0054,5.4,-1,10.8,10.8,10.8,1.024694716,-1
55,6.59,2,3.87,2,5.5,0,1.76379,4,5.5,-1,2.2,-1,365.5,5.5,11,11,0.0275,0.0055,5.5,-1,11,11,11,1.042645326,-1
56,7.08,2,3.97,2,5.6,0,2.045455,4,5.6,-1,2.24,-1,365.6,5.6,11.2,11.2,0.028,0.0056,5.6,-1,11.2,11.2,11.2,1.060560035,-1
57,7.62,2,4.07,2,5.7,0,2.3721,4,5.7,-1,2.28,-1,365.7,5.7,11.4,11.4,0.0285,0.0057,5.7,-1,11.4,11.4,11.4,1.078438915,-1
58,8.19,2,4.17,2,5.8,0,2.750905,4,5.8,-1,2.32,-1,365.8,5.8,11.6,11.6,0.029,0.0058,5.8,-1,11.6,11.6,11.6,1.096282038,-1
59,8.8,2,4.28,2,5.9,0,3.190205,4,5.9,-1,2.36,-1,365.9,5.9,11.8,11.8,0.0295,0.0059,5.9,-1,11.8,11.8,11.8,1.114089473,-1
60,9.46,2,4.38,2,6,0,3.69966,4,6,-1,2.4,-1,366,6,12,12,0.03,0.006,6,-1,12,12,12,1.131861295,-1
61,1.00276,3,4.49,2,6.1,0,4.290475,4,6.1,-1,2.44,-1,366.1,6.1,12.2,12.2,0.0305,0.0061,6.1,-1,12.2,12.2,12.2,1.149597572,-1
62,1.0629256,3,4.6,2,6.2,0,4.975635,4,6.2,-1,2.48,-1,366.2,6.2,12.4,12.4,0.031,0.0062,6.2,-1,12.4,12.4,12.4,1.167298377,-1
63,1.126701136,3,4.72,2,6.3,0,5.77021,4,6.3,-1,2.52,-1,366.3,6.3,12.6,12.6,0.0315,0.0063,6.3,-1,12.6,12.6,12.6,1.18496378,-1
64,1.194303204,3,4.84,2,6.4,0,6.69167,4,6.4,-1,2.56,-1,366.4,6.4,12.8,12.8,0.032,0.0064,6.4,-1,12.8,12.8,12.8,1.202593852,-1
65,1.265961396,3,4.96,2,6.5,0,7.76029,4,6.5,-1,2.6,-1,366.5,6.5,13,13,0.0325,0.0065,6.5,-1,13,13,13,1.220188665,-1
66,1.34191908,3,5.08,2,6.6,0,8.999555,4,6.6,-1,2.64,-1,366.6,6.6,13.2,13.2,0.033,0.0066,6.6,-1,13.2,13.2,13.2,1.237748287,-1
67,1.422434225,3,5.21,2,6.7,0,1.0436725,5,6.7,-1,2.68,-1,366.7,6.7,13.4,13.4,0.0335,0.0067,6.7,-1,13.4,13.4,13.4,1.255272791,-1
68,1.507780279,3,5.34,2,6.8,0,1.21034,5,6.8,-1,2.72,-1,366.8,6.8,13.6,13.6,0.034,0.0068,6.8,-1,13.6,13.6,13.6,1.272762245,-1
69,1.598247095,3,5.47,2,6.9,0,1.403623,5,6.9,-1,2.76,-1,366.9,6.9,13.8,13.8,0.0345,0.0069,6.9,-1,13.8,13.8,13.8,1.290216721,-1
70,1.694141921,3,5.61,2,7,0,1.6277725,5,7,-1,2.8,-1,367,7,14,14,0.035,0.007,7,-1,14,14,14,1.307636287,-1
71,1.795790436,3,5.75,2,7.1,0,1.887717,5,7.1,-1,2.84,-1,367.1,7.1,14.2,14.2,0.0355,0.0071,7.1,-1,14.2,14.2,14.2,1.325021015,-1
72,1.903537862,3,5.89,2,7.2,0,2.189173,5,7.2,-1,2.88,-1,367.2,7.2,14.4,14.4,0.036,0.0072,7.2,-1,14.4,14.4,14.4,1.342370973,-1
73,2.017750134,3,6.04,2,7.3,0,2.5387695,5,7.3,-1,2.92,-1,367.3,7.3,14.6,14.6,0.0365,0.0073,7.3,-1,14.6,14.6,14.6,1.359686231,-1
74,2.138815142,3,6.19,2,7.4,0,2.944194,5,7.4,-1,2.96,-1,367.4,7.4,14.8,14.8,0.037,0.0074,7.4,-1,14.8,14.8,14.8,1.376966858,-1
75,2.267144051,3,6.35,2,7.5,0,3.4143625,5,7.5,-1,3,-1,367.5,7.5,15,15,0.0375,0.0075,7.5,-1,15,15,15,1.394212925,-1
76,2.403172694,3,6.5,2,7.6,0,3.9596135,5,7.6,-1,3.04,-1,367.6,7.6,15.2,15.2,0.038,0.0076,7.6,-1,15.2,15.2,15.2,1.411424499,-1
77,2.547363055,3,6.67,2,7.7,0,4.591938,5,7.7,-1,3.08,-1,367.7,7.7,15.4,15.4,0.0385,0.0077,7.7,-1,15.4,15.4,15.4,1.42860165,-1
78,2.700204839,3,6.83,2,7.8,0,5.32524,5,7.8,-1,3.12,-1,367.8,7.8,15.6,15.6,0.039,0.0078,7.8,-1,15.6,15.6,15.6,1.445744446,-1
79,2.862217129,3,7,2,7.9,0,6.175646,5,7.9,-1,3.16,-1,367.9,7.9,15.8,15.8,0.0395,0.0079,7.9,-1,15.8,15.8,15.8,1.462852958,-1
80,3.033950157,3,7.18,2,8,0,7.161856,5,8,-1,3.2,-1,368,8,16,16,0.04,0.008,8,-1,16,16,16,1.479927252,-1
81,3.215987166,3,7.36,2,8.1,0,8.305557,5,8.1,-1,3.24,-1,368.1,8.1,16.2,16.2,0.0405,0.0081,8.1,-1,16.2,16.2,16.2,1.496967397,-1
82,3.408946396,3,7.54,2,8.2,0,9.6319,5,8.2,-1,3.28,-1,368.2,8.2,16.4,16.4,0.041,0.0082,8.2,-1,16.4,16.4,16.4,1.513973462,-1
83,3.61348318,3,7.73,2,8.3,0,1.1170051,6,8.3,-1,3.32,-1,368.3,8.3,16.6,16.6,0.0415,0.0083,8.3,-1,16.6,16.6,16.6,1.530945515,-1
84,3.830292171,3,7.92,2,8.4,0,1.29538345,6,8.4,-1,3.36,-1,368.4,8.4,16.8,16.8,0.042,0.0084,8.4,-1,16.8,16.8,16.8,1.547883624,-1
85,4.060109701,3,8.12,2,8.5,0,1.50224765,6,8.5,-1,3.4,-1,368.5,8.5,17,17,0.0425,0.0085,8.5,-1,17,17,17,1.564787857,-1
86,4.303716283,3,8.33,2,8.6,0,1.7421467,6,8.6,-1,3.44,-1,368.6,8.6,17.2,17.2,0.043,0.0086,8.6,-1,17.2,17.2,17.2,1.581658281,-1
87,4.56193926,3,8.53,2,8.7,0,2.02035605,6,8.7,-1,3.48,-1,368.7,8.7,17.4,17.4,0.0435,0.0087,8.7,-1,17.4,17.4,17.4,1.598494965,-1
88,4.835655616,3,8.75,2,8.8,0,2.34299365,6,8.8,-1,3.52,-1,368.8,8.8,17.6,17.6,0.044,0.0088,8.8,-1,17.6,17.6,17.6,1.615297975,-1
89,5.125794952,3,8.96,2,8.9,0,2.7171543,6,8.9,-1,3.56,-1,368.9,8.9,17.8,17.8,0.0445,0.0089,8.9,-1,17.8,17.8,17.8,1.632067379,-1
90,5.43334265,3,9.19,2,9,0,3.15106595,6,9,-1,3.6,-1,369,9,18,18,0.045,0.009,9,-1,18,18,18,1.648803244,-1
91,5.759343209,3,9.42,2,9.1,0,3.6542704,6,9.1,-1,3.64,-1,369.1,9.1,18.2,18.2,0.0455,0.0091,9.1,-1,18.2,18.2,18.2,1.665505638,-1
92,6.104903801,3,9.65,2,9.2,0,4.23783335,6,9.2,-1,3.68,-1,369.2,9.2,18.4,18.4,0.046,0.0092,9.2,-1,18.4,18.4,18.4,1.682174626,-1
93,6.471198029,3,9.89,2,9.3,0,4.91458745,6,9.3,-1,3.72,-1,369.3,9.3,18.6,18.6,0.0465,0.0093,9.3,-1,18.6,18.6,18.6,1.698810277,-1
94,6.859469911,3,1.014,3,9.4,0,5.6994147,6,9.4,-1,3.76,-1,369.4,9.4,18.8,18.8,0.047,0.0094,9.4,-1,18.8,18.8,18.8,1.715412657,-1
95,7.271038106,3,1.04,3,9.5,0,6.6095737,6,9.5,-1,3.8,-1,369.5,9.5,19,19,0.0475,0.0095,9.5,-1,19,19,19,1.731981831,-1
96,7.707300392,3,1.066,3,9.6,0,7.66507915,6,9.6,-1,3.84,-1,369.6,9.6,19.2,19.2,0.048,0.0096,9.6,-1,19.2,19.2,19.2,1.748517868,-1
97,8.169738415,3,1.092,3,9.7,0,8.8891418,6,9.7,-1,3.88,-1,369.7,9.7,19.4,19.4,0.0485,0.0097,9.7,-1,19.4,19.4,19.4,1.765020832,-1
98,8.65992272,3,1.119,3,9.8,0,1.030867925,7,9.8,-1,3.92,-1,369.8,9.8,19.6,19.6,0.049,0.0098,9.8,-1,19.6,19.6,19.6,1.78149079,-1
99,9.179518084,3,1.147,3,9.9,0,1.19549075,7,9.9,-1,3.96,-1,369.9,9.9,19.8,19.8,0.0495,0.0099,9.9,-1,19.8,19.8,19.8,1.797927809,-1
100,9.730289169,3,1.176,3,1,1,1.386402755,7,1,0,4,-1,370,10,20,20,0.05,0.01,1,0,20,20,20,1.814331953,-1
101,1.031410652,4,1.205,3,1.005,1,1.607802145,7,1.01,0,4.04,-1,370.1,10.1,20.2,20.2,0.0505,0.0101,1.01,0,20.2,20.2,20.2,1.830703289,-1
102,1.082981184,4,1.236,3,1.01,1,1.864557565,7,1.02,0,4.08,-1,370.2,10.2,20.4,20.4,0.051,0.0102,1.02,0,20.4,20.4,20.4,1.847041883,-1
103,1.137130244,4,1.267,3,1.015,1,2.16231514,7,1.03,0,4.12,-1,370.3,10.3,20.6,20.6,0.0515,0.0103,1.03,0,20.6,20.6,20.6,1.863347799,-1
104,1.193986756,4,1.298,3,1.02,1,2.507622635,7,1.04,0,4.16,-1,370.4,10.4,20.8,20.8,0.052,0.0104,1.04,0,20.8,20.8,20.8,1.879621103,-1
105,1.253686094,4,1.331,3,1.025,1,2.908073465,7,1.05,0,4.2,-1,370.5,10.5,21,21,0.0525,0.0105,1.05,0,21,21,21,1.895861861,-1
106,1.316370398,4,1.364,3,1.03,1,3.372473655,7,1.06,0,4.24,-1,370.6,10.6,21.2,21.2,0.053,0.0106,1.06,0,21.2,21.2,21.2,1.912070137,-1
107,1.382188918,4,1.398,3,1.035,1,3.9110355,7,1.07,0,4.28,-1,370.7,10.7,21.4,21.4,0.0535,0.0107,1.07,0,21.4,21.4,21.4,1.928245997,-1
108,1.451298364,4,1.433,3,1.04,1,4.535602125,7,1.08,0,4.32,-1,370.8,10.8,21.6,21.6,0.054,0.0108,1.08,0,21.6,21.6,21.6,1.944389505,-1
109,1.523863282,4,1.469,3,1.045,1,5.259907935,7,1.09,0,4.36,-1,370.9,10.9,21.8,21.8,0.0545,0.0109,1.09,0,21.8,21.8,21.8,1.960500726,-1
110,1.600056446,4,1.505,3,1.05,1,6.09988061,7,1.1,0,4.4,-1,371,11,22,22,0.055,0.011,1.1,0,22,22,22,1.976579725,-1
111,1.680059269,4,1.543,3,1.055,1,7.073991395,7,1.11,0,4.44,-1,371.1,11.1,22.2,22.2,0.0555,0.0111,1.11,0,22.2,22.2,22.2,1.992626565,-1
112,1.764062232,4,1.582,3,1.06,1,8.20366126,7,1.12,0,4.48,-1,371.2,11.2,22.4,22.4,0.056,0.0112,1.12,0,22.4,22.4,22.4,2.008641312,-1
113,1.852265344,4,1.621,3,1.065,1,9.51373197,7,1.13,0,4.52,-1,371.3,11.3,22.6,22.6,0.0565,0.0113,1.13,0,22.6,22.6,22.6,2.024624029,-1
114,1.944878611,4,1.662,3,1.07,1,1.103301235,8,1.14,0,4.56,-1,371.4,11.4,22.8,22.8,0.057,0.0114,1.14,0,22.8,22.8,22.8,2.040574781,-1
115,2.042122542,4,1.703,3,1.075,1,1.27949118,8,1.15,0,4.6,-1,371.5,11.5,23,23,0.0575,0.0115,1.15,0,23,23,23,2.056493632,-1
116,2.144228669,4,1.746,3,1.08,1,1.4838175,8,1.16,0,4.64,-1,371.6,11.6,23.2,23.2,0.058,0.0116,1.16,0,23.2,23.2,23.2,2.072380645,-1
117,2.251440102,4,1.789,3,1.085,1,1.720773389,8,1.17,0,4.68,-1,371.7,11.7,23.4,23.4,0.0585,0.0117,1.17,0,23.4,23.4,23.4,2.088235883,-1
118,2.364012107,4,1.834,3,1.09,1,1.995569573,8,1.18,0,4.72,-1,371.8,11.8,23.6,23.6,0.059,0.0118,1.18,0,23.6,23.6,23.6,2.104059411,-1
119,2.482212713,4,1.88,3,1.095,1,2.3142489,8,1.19,0,4.76,-1,371.9,11.9,23.8,23.8,0.0595,0.0119,1.19,0,23.8,23.8,23.8,2.119851293,-1
120,2.606323348,4,1.927,3,1.1,1,2.683819217,8,1.2,0,4.8,-1,372,12,24,24,0.06,0.012,1.2,0,24,24,24,2.13561159,-1
121,2.736639516,4,1.975,3,1.105,1,3.112407482,8,1.21,0,4.84,-1,372.1,12.1,24.2,24.2,0.0605,0.0121,1.21,0,24.2,24.2,24.2,2.151340367,-1
122,2.873471491,4,2.024,3,1.11,1,3.609438471,8,1.22,0,4.88,-1,372.2,12.2,24.4,24.4,0.061,0.0122,1.22,0,24.4,24.4,24.4,2.167037686,-1
123,3.017145066,4,2.075,3,1.115,1,4.185842038,8,1.23,0,4.92,-1,372.3,12.3,24.6,24.6,0.0615,0.0123,1.23,0,24.6,24.6,24.6,2.182703611,-1
124,3.168002319,4,2.127,3,1.12,1,4.854293461,8,1.24,0,4.96,-1,372.4,12.4,24.8,24.8,0.062,0.0124,1.24,0,24.8,24.8,24.8,2.198338204,-1
125,3.326402435,4,2.18,3,1.125,1,5.629492177,8,1.25,0,5,-1,372.5,12.5,25,25,0.0625,0.0125,1.25,0,25,25,25,2.213941527,-1
126,3.492722557,4,2.235,3,1.13,1,6.528485026,8,1.26,0,5.04,-1,372.6,12.6,25.2,25.2,0.063,0.0126,1.26,0,25.2,25.2,25.2,2.229513644,-1
127,3.667358685,4,2.29,3,1.135,1,7.571041115,8,1.27,0,5.08,-1,372.7,12.7,25.4,25.4,0.0635,0.0127,1.27,0,25.4,25.4,25.4,2.245054617,-1
128,3.850726619,4,2.348,3,1.14,1,8.78008655,8,1.28,0,5.12,-1,372.8,12.8,25.6,25.6,0.064,0.0128,1.28,0,25.6,25.6,25.6,2.260564508,-1
129,4.04326295,4,2.406,3,1.145,1,1.018220858,9,1.29,0,5.16,-1,372.9,12.9,25.8,25.8,0.0645,0.0129,1.29,0,25.8,25.8,25.8,2.276043379,-1
130,4.245426098,4,2.466,3,1.15,1,1.180824028,9,1.3,0,5.2,-1,373,13,26,26,0.065,0.013,1.3,0,26,26,26,2.291491292,-1
131,4.457697402,4,2.528,3,1.155,1,1.369393853,9,1.31,0,5.24,-1,373.1,13.1,26.2,26.2,0.0655,0.0131,1.31,0,26.2,26.2,26.2,2.306908309,-1
132,4.680582273,4,2.591,3,1.16,1,1.588077038,9,1.32,0,5.28,-1,373.2,13.2,26.4,26.4,0.066,0.0132,1.32,0,26.4,26.4,26.4,2.322294493,-1
133,4.914611386,4,2.656,3,1.165,1,1.841682489,9,1.33,0,5.32,-1,373.3,13.3,26.6,26.6,0.0665,0.0133,1.33,0,26.6,26.6,26.6,2.337649904,-1
134,5.160341956,4,2.722,3,1.17,1,2.135787061,9,1.34,0,5.36,-1,373.4,13.4,26.8,26.8,0.067,0.0134,1.34,0,26.8,26.8,26.8,2.352974604,-1
135,5.418359053,4,2.79,3,1.175,1,2.476858197,9,1.35,0,5.4,-1,373.5,13.5,27,27,0.0675,0.0135,1.35,0,27,27,27,2.368268655,-1
136,5.689277006,4,2.86,3,1.18,1,2.872396149,9,1.36,0,5.44,-1,373.6,13.6,27.2,27.2,0.068,0.0136,1.36,0,27.2,27.2,27.2,2.383532117,-1
137,5.973740856,4,2.932,3,1.185,1,3.331098908,9,1.37,0,5.48,-1,373.7,13.7,27.4,27.4,0.0685,0.0137,1.37,0,27.4,27.4,27.4,2.398765053,-1
138,6.272427899,4,3.005,3,1.19,1,3.86305348,9,1.38,0,5.52,-1,373.8,13.8,27.6,27.6,0.069,0.0138,1.38,0,27.6,27.6,27.6,2.413967523,-1
139,6.586049294,4,3.08,3,1.195,1,4.479957694,9,1.39,0,5.56,-1,373.9,13.9,27.8,27.8,0.0695,0.0139,1.39,0,27.8,27.8,27.8,2.429139588,-1
140,6.915351759,4,3.157,3,1.2,1,5.195377452,9,1.4,0,5.6,-1,374,14,28,28,0.07,0.014,1.4,0,28,28,28,2.444281309,-1
141,7.261119347,4,3.236,3,1.205,1,6.025045036,9,1.41,0,5.64,-1,374.1,14.1,28.2,28.2,0.0705,0.0141,1.41,0,28.2,28.2,28.2,2.459392746,-1
142,7.624175314,4,3.317,3,1.21,1,6.987205073,9,1.42,0,5.68,-1,374.2,14.2,28.4,28.4,0.071,0.0142,1.42,0,28.4,28.4,28.4,2.474473961,-1
143,8.00538408,4,3.4,3,1.215,1,8.103015735,9,1.43,0,5.72,-1,374.3,14.3,28.6,28.6,0.0715,0.0143,1.43,0,28.6,28.6,28.6,2.489525013,-1
144,8.405653284,4,3.485,3,1.22,1,9.397014015,9,1.44,0,5.76,-1,374.4,14.4,28.8,28.8,0.072,0.0144,1.44,0,28.8,28.8,28.8,2.504545963,-1
145,8.825935948,4,3.572,3,1.225,1,1.08976553,10,1.45,0,5.8,-1,374.5,14.5,29,29,0.0725,0.0145,1.45,0,29,29,29,2.519536871,-1
146,9.267232745,4,3.661,3,1.23,1,1.263793913,10,1.46,0,5.84,-1,374.6,14.6,29.2,29.2,0.073,0.0146,1.46,0,29.2,29.2,29.2,2.534497797,-1
147,9.730594383,4,3.753,3,1.235,1,1.465613483,10,1.47,0,5.88,-1,374.7,14.7,29.4,29.4,0.0735,0.0147,1.47,0,29.4,29.4,29.4,2.549428801,-1
148,1.011981816,5,3.846,3,1.24,1,1.69966231,10,1.48,0,5.92,-1,374.8,14.8,29.6,29.6,0.074,0.0148,1.48,0,29.6,29.6,29.6,2.564329944,-1
