MonsterLevel,BenchmarkLevel,ATKLevel,DEFLevel,MonsterHP,MonsterATK,MonsterDEF,MonsterDEFR,Gold,
62,6200,"1,776.92",592.31,2.48575E+23,3.59431E+19,2.5494E+22,0,2.5494E+22,
63,6325,"1,805.77",601.92,4.4143E+23,7.35543E+19,4.52733E+22,0,4.52733E+22,
64,6400,"1,823.08",607.69,6.30471E+23,1.1472E+20,8.03984E+22,0,8.03984E+22,
65,6575,"1,861.54",620.51,1.33805E+24,2.93187E+20,1.42775E+23,0,1.42775E+23,
66,6700,"1,892.31",630.77,2.47216E+24,6.30354E+20,2.48575E+23,0,2.48575E+23,
67,6825,"1,921.15",640.38,4.39018E+24,1.28996E+21,4.4143E+23,0,4.4143E+23,
68,6950,"1,950.00",650,7.79627E+24,2.63979E+21,6.30471E+23,0,6.30471E+23,
69,7075,"1,978.85",659.62,1.35735E+25,5.27032E+21,1.33805E+24,0,1.33805E+24,
70,7200,"2,007.69",669.23,2.41044E+25,1.07852E+22,2.47216E+24,0,2.47216E+24,
71,7325,"2,036.54",678.85,4.28057E+25,2.2071E+22,4.39018E+24,0,4.39018E+24,
72,7450,"2,065.38",688.46,7.60163E+25,4.51662E+22,7.79627E+24,0,7.79627E+24,
73,7575,"2,094.23",698.08,1.34993E+26,9.24284E+22,1.35735E+25,0,1.35735E+25,
74,7700,"2,123.08",707.69,2.39727E+26,1.89146E+23,2.41044E+25,0,2.41044E+25,
75,7825,"2,151.92",717.31,4.1737E+26,3.77629E+23,4.28057E+25,0,4.28057E+25,
76,7950,"2,180.77",726.92,7.41185E+26,7.72783E+23,7.60163E+25,0,7.60163E+25,
77,8075,"2,209.62",736.54,1.31623E+27,1.58143E+24,1.34993E+26,0,1.34993E+26,
78,8200,"2,238.46",746.15,2.33742E+27,3.23625E+24,2.39727E+26,0,2.39727E+26,
79,8325,"2,267.31",755.77,4.15089E+27,6.62268E+24,4.1737E+26,0,4.1737E+26,
80,8450,"2,296.15",765.38,7.37134E+27,1.35527E+25,7.41185E+26,0,7.41185E+26,
81,8575,"2,325.00",775,1.30904E+28,2.77344E+25,1.31623E+27,0,1.31623E+27,
82,8700,"2,353.85",784.62,2.27906E+28,5.53715E+25,2.33742E+27,0,2.33742E+27,
83,8825,"2,382.69",794.23,4.04726E+28,1.13313E+26,4.15089E+27,0,4.15089E+27,
84,8950,"2,411.54",803.85,7.18731E+28,2.31884E+26,7.37134E+27,0,7.37134E+27,
85,,,,,,,0,,
86,,,,,,,0,,
87,,,,,,,0,,
88,,,,,,,0,,
89,,,,,,,0,,
90,,,,,,,0,,
91,,,,,,,0,,
92,,,,,,,0,,
93,,,,,,,0,,
94,,,,,,,0,,
95,,,,,,,0,,
96,,,,,,,0,,
97,,,,,,,0,,
98,,,,,,,0,,
99,,,,,,,0,,
100,,,,,,,0,,
